Contributions,Source,Labels,,,,
"We introduce in this paper a novel method, that
we call Multi-Task Supervised Pre-training and Adaptation (MuTSPad)",ACL,New Algorithm or Method or Technology,,,,
"we pro-pose to build multi-task datasets for the News and
Tweets domains, by unifying the aforementioned
task-independent datasets.",ACL,Dataset Creation,,,,
"Hence our model can grasp
useful word-level semantic information and al-leviate the interference of segmentation error
cascading.",ACL,Model Optimization,,,,
"The above operations provide a
wealth of resources to allow the model to in-
fer word-level deep characteristics, rather than
bluntly impose segmentation information.",ACL,Resources,,,,
"For document
level, we reused last year’s English-French data
for training and validation, but introduced a new
test set from the same corpus",ACL,Performance Evaluation,,,,
"For QE as a metric we ran the evaluation jointly with the WMT19 metrics task, which meant applying the QE systems to news translation submissions and evaluating them against the human judgments collected this year",ACL,Performance Evaluation,,,,
fair assessment of the progress in APE technology and for tests in more challenging conditions,ACL,Performance Evaluation,,,,
"reusing the same test English-German set used last year, the evaluation framework allows us for a direct comparison with the last year’s outcomes at least on one language",ACL,Performance Evaluation,,,,
"construction of training data and the official test sets, including statistics and an evalua- 31 tion of the quality of the test sets",ACL,Dataset Creation,,,,
a description of the three baselines that we developed for comparison,ACL,Theory Proposal,,,,
"an overview of the task, presents the results for the participating systems and provides analysis on additional subset sizes and the average sentence length of sub-selected data.",ACL,Performance Evaluation,,,,
We obtain new results using referential translation machines with increased number of learning models in the set of results that are stacked to obtain a better mixture of experts prediction,ACL,Theory Proposal,,,,
We extend OpenKiwi with a Transformer predictor-estimator model,ACL,Model Optimization,,,,
"We propose new ensembling techniques for combining word-level and sentence-level predictions, which outperform previously used stacking approaches",ACL,Model Optimization,,,,
"We apply transfer learning techniques, finetuning BERT (Devlin et al., 2018) and XLM (Lample and Conneau, 2019) models in a predictor-estimator architecture",ACL,Applications,,,,
We build upon our BERT-based predictorestimator model to obtain document-level annotation and MQM predictions via a simple wordto-annotation conversion scheme,ACL,Model Optimization,,,,
we propose a “bilingual” BERT using multi-task learning for translation quality estimation (called the QE BERT).,ACL,New Algorithm or Method or Technology,,,,
"we introduce our base model, which is a modified version of phrase-level Shef-bRNN (Ive et al., 2018), and further develop it by using different methods of extracting features from the input alongside the bi-RNN features",ACL,Model Optimization,,,,
"we present two different approaches for the sentence-level QE task, which employ bi-directional translation knowledge and large-scale monolingual knowledge to the QE task, respectively",ACL,Theory Proposal,,,,
a simple ensemble of them can help to achieve better quality estimation performance in the sentence-level QE task,ACL,Performance Evaluation,,,,
"we introduce a light-weight neural method with pre-trained embeddings, that means it does not require any pre-training",ACL,New Algorithm or Method or Technology,,,,
"to predict the required post-editing cost, measured in HTER",ACL,Performance Evaluation,,,,
to rank all sentence pairs in descending translation quality,ACL,Performance Evaluation,,,,
we propose a multisource APE model by extending Transformer to contain a joint multi-source encoder and a decoder that involves a multi-source attention layer to combine the outputs of the encoder.,ACL,New Algorithm or Method or Technology,,,,
"We also introduce the conservativeness penalty, a simple yet effective mechanism that controls the freedom of our APE in modifying the given MT output",ACL,New Algorithm or Method or Technology,,,,
we present a multi-source neural APE architecture model called transference,ACL,New Algorithm or Method or Technology,,,,
we explore the effect of adding tokens that identify partitions in the training data which may be relevant to guide the behaviour of the NPE system,ACL,Applications,,,,
"In order to tackle the over-correction problem and to induce a post-editing strategy that resembles the work of a human post-editor, we add a special token to the beginning of both the source text and the MT output indicating the amount of required post-editing",ACL,Performance Evaluation,,,,
we re-implement a multi-source transformer model for the task,ACL,Model Optimization,,,,
we designed a data preparation strategy for domainspecific translation systems to enrich data with terminology information without affecting the model architecture,ACL,Model Optimization,,,,
we present an approach which aims at increasing the training corpus by mining similar in domain (Bio Med) sentences from out of domain data,ACL,Theory Proposal,,,,
"We have developed NMT system for English-French language pair, for translation in both directions",ACL,Theory Proposal,,,,
we present Huawei’s practices on adapting our NMT systems from general-domain to in-domain,ACL,Model Construction,,,,
"We apply transfer learning iteratively on datasets from different domains, obtaining strong models that cover two domains for both directions of the English-German language pair, and three domains for both directions of EnglishSpanish.",ACL,Applications,,,,
We therefore investigate applying Bayesian Interpolation for language-model based multi-domain ensemble weighting,ACL,Applications,,,,
"For that matter, we developed a machine translation (MT) system based on neural machine translation (NMT), using OpenNMT-py",ACL,New Algorithm or Method or Technology,,,,
This paper introduces a novel approach to translation modeling that is currently being developed,ACL,Model Construction,,,,
in this article we aimed to determine whether the neural or the statistical approach is a better one to solve the given problem.,ACL,Model Construction,,,,
We first briefly introduce the phenomenon of intercomprehension between Slavic languages and our idea how to take advantage of it for machine translation purposes,ACL,Model Construction,,,,
The next section spreads out our plans on Czech-Polish translation by exploring the similarities and differences between the two languages,ACL,Model Construction,,,,
"The task focuses on improving machine translation results for three language pairs Czech-Polish
(Slavic languages), Hindi-Nepali (Indo-Aryan languages) and Spanish-Portuguese (Romance languages).",ACL,Model Optimization,,,,
"To examine the efficiency of our NMT systems, the predicted translations exposed to automatic evaluation using the BLEU score",ACL,Performance Evaluation,,,,
"For both translation directions, we trained supervised neural MT (NMT) and statistical MT (SMT) systems, and combined them through n-best list reranking using different informative features as proposed by Marie and Fujita (2018a)",ACL,Model Optimization,,,,
"Keeping in view the recent results obtained in MT developments, we experimented with both PBSMT as well as NMT models and evaluated how different models perform in comparison to each other",ACL,Performance Evaluation,,,,
we describe the UDS-DFKI system to the WMT 2019 Similar Language Translation task.,ACL,Theory Proposal,,,,
we assume that proper subword segmentation will be beneficial for neural machine translation (NMT) performance but we aim at consistent segmentation across both related languages,ACL,Performance Evaluation,,,,
