Articles,Contributions,Source,Annotation1,Annotation2,Same/Not,Labels,,,,,,,,,,,,,,,,,,,
Quantum-Inspired Blockchain-Based Cybersecurity: Securing Smart Edge Utilities in IoT-Based Smart Cities,A new cryptographic algorithm which has better authentication and encryption of data and uses quantum-inspired quantum walks.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Quantum-Inspired Blockchain-Based Cybersecurity: Securing Smart Edge Utilities in IoT-Based Smart Cities,Secure transmission of data between different IOT devices is obtained by using the new cryptographic technique by using quantum hash functions by linkin blocks of chain,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Quantum-Inspired Blockchain-Based Cybersecurity: Securing Smart Edge Utilities in IoT-Based Smart Cities,Message attacks and Impersonation attacks can be tackled by using the new cryptographic algorithm was stated in security analysis,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Development of a dialogue-based guidance system for narrow area navigation,using the natural language dialogue for a dialog based indoor navigation system,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Enhancing Traceability of Infectious Diseases: A Blockchain-Based Approach,New diseases information can be identified with the help of Blockchain based method.,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Enhancing Traceability of Infectious Diseases: A Blockchain-Based Approach,"Information collection , Information Query and Informationstorage can be done using the Blockchain which is authentic.",IPM,Applications,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
SC-Com: Spotting Collusive Community in Opinion Spam Detection,Detection of false and spam reviews by using collusive community detection framework,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
SC-Com: Spotting Collusive Community in Opinion Spam Detection,Using the community-based and temporal abnormality features to differentiate spammers from others,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Detecting research topic trends by author-defined keyword frequency,Research topic treands can be identified by using the author-defined keyword frequency prediction.,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Detecting research topic trends by author-defined keyword frequency,"AKFP uses long short-term Memory and Temporal feature, Persistence, Community size, and Community development potential are used as inputs",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
"A machine learning, bias-free approach for predicting business success using Crunchbase data",A predictive model which helps in forecasting of a company success in the future,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
"A machine learning, bias-free approach for predicting business success using Crunchbase data","The forecasting of the company success results for precision, recall, and F1 scores were 57%, 34%, and 43%.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Recency and quality-based ranking question in CQAs: A Stack Overflow case study,An automatic proposal for quality and recency-based answer ranking.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Recency and quality-based ranking question in CQAs: A Stack Overflow case study,"From evaluation of 9 L2R algorithms, shows Coordinate Ascent and LambdaMart have the best performance.",IPM,Theory Proposal,Performance Evaluation,0,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Combat COVID-19 infodemic using explainable natural language processing models,Misinformation regarding Covid-19 are detected using DistilBERT and SHAP,IPM,Model Construction,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Combat COVID-19 infodemic using explainable natural language processing models,DistilBERT model was used to check the performance of the selected data and the trust of users increased by SHARP,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
A blockchain empowered and privacy preserving digital contact tracing platform,A Blockchain-empowered COVID-19 contact tracing platform has been introduced.,IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A blockchain empowered and privacy preserving digital contact tracing platform,The platform uses user identity data and activity trace data on the blockchain using SSI proofs to track and identify locationwhich helps in identifying patients,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Closed-loop and open-loop authentication protocols for blockchain-based IoT systems,Mutual authentication protocols for IOT systems for decentralized data,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Closed-loop and open-loop authentication protocols for blockchain-based IoT systems,Using Block-chain the attacks against the RFID are tested and examined,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Closed-loop and open-loop authentication protocols for blockchain-based IoT systems,BAN-Logic method is used to approve the closed loop and open loop authentication,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Influence of Online Social Support on the Public's Belief in Overcoming COVID-19,The efffects of online social support by holding public emotions and knowledge overcoming the Covid-19 pandemic,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Influence of Online Social Support on the Public's Belief in Overcoming COVID-19,"Developed a model which addresses beliefs of the online social support, cognition and emotion. Crawling and content analysis are used to identify the different online support given or received by people from Baidu Covid-19 bar",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Influence of Online Social Support on the Public's Belief in Overcoming COVID-19,"Insights on reduce the negative effects of quarantine, consolidate the theoretical basis of the public's beliefs were obtained",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Understanding roles in collaborative information behaviour: a case of Chinese group travelling,"In realistic environments, a longitudinal study of cooperation during information-intensive projects.",IPM,Theory Proposal,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Understanding roles in collaborative information behaviour: a case of Chinese group travelling,"The data was collected by initial demographic questionnaires, pre- and post-trip interviews, and self-reported diaries during the travel and was analyzed by using iteravtive coding.",IPM,Dataset Creation,Dataset Creation,0,Dataset Creation,,,,,,,,,,,,,,,,,,,
Understanding roles in collaborative information behaviour: a case of Chinese group travelling,"Different CIB roles were identifyied which were self volunteered by the travelers including team player, all-rounder, influencer, authoritarian, supporter, and followers",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A high-performance native approach to adaptive blockchain smart-contract transmission and execution,An adaptive and continuous approach for storage requirements of smart-contracts,IPM,Theory Proposal,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
A high-performance native approach to adaptive blockchain smart-contract transmission and execution,"a semantically distinct blockchain architecture, which includes a new type of node whose function is to improve the storage used by smart-contracts",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Al-SPSD: Anti-leakage smart Ponzi schemes detection in blockchain,A anti-leakage smart Ponzi schemes detection method named Al-SPSD designed to increase security in Blockchain,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Al-SPSD: Anti-leakage smart Ponzi schemes detection in blockchain,"Al-SPSD is used to detect 1,621 active smart Ponzi schemes in Ethereum and with a f-score of 96 percent.",IPM,Algorithm or Method or Technology Optimization,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Security reinforcement for Ethereum virtual machine,Detection of dangerous transactions which causes harm using the block chain technology in the real time,IPM,New Algorithm or Method or Technology,Applications,0,Applications,,,,,,,,,,,,,,,,,,,
Security reinforcement for Ethereum virtual machine,Fortification of the Etherium virtual machine is done for detection of fraud transactions which will interrupt the execution during the runtime.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Security reinforcement for Ethereum virtual machine,"The strengthened FISCO-BCOS-evm has been implemented into the official release of FISCO-BCOS, which has been adopted by WeBank, a major Chinese bank.",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
